"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"187","RPS23",2.76324856130608e-67,1.96919000418356,0.595,0.089,6.85838292916168e-63
"188","CCT3",3.80403829758123e-67,2.18656830589918,0.541,0.055,9.4416230545966e-63
"189","FAS",4.63976270920672e-67,-3.88944019334791,0.141,0.405,1.15158910442511e-62
"190","TPP1",9.35557960932551e-67,1.95150259078236,0.596,0.092,2.32205485903459e-62
"191","NAP1L1",1.86958588507618e-66,1.85231254372378,0.599,0.094,4.64031216675907e-62
"192","GDI2",2.03751582442175e-66,2.06406719724602,0.585,0.085,5.05711427621479e-62
"193","KTN1",1.21982123414553e-65,2.06882361473744,0.546,0.062,3.02759630314921e-61
"194","SERBP1",1.57557913742389e-65,1.63864134535116,0.622,0.11,3.91058741908611e-61
"195","CEBPA",2.27186668937733e-65,2.71169166935675,0.504,0.039,5.63877312303453e-61
"196","FDX1",2.42448506283358e-65,3.00939951907573,0.488,0.03,6.01757192595295e-61
"197","LMNA",6.49864856749362e-65,3.83170469927638,0.472,0.023,1.61296457445192e-60
"198","CD4",7.03365377567603e-65,4.03816211845241,0.457,0.014,1.74575286712279e-60
"199","GLUL",1.038461730697e-64,-1.51327562263015,0.843,0.876,2.57746201558996e-60
"200","CD93",1.36583549802419e-64,1.64739133320814,0.665,0.158,3.39000370609603e-60
"201","RPS11",1.96676410406498e-64,1.43337686616113,0.784,0.256,4.88150850628928e-60
"202","ADRBK2",2.4558006892382e-64,2.86079473439597,0.485,0.032,6.09529731068922e-60
"203","MS4A7",2.51153314988843e-64,3.03490298291373,0.495,0.041,6.23362527802309e-60
"204","MTDH",3.64172356608834e-64,1.28198896523147,0.736,0.192,9.03875789103126e-60
"205","EPB41L3",3.67102761582114e-64,4.92798476070278,0.442,0.007,9.11149054246807e-60
"206","CTSA",5.79408377153014e-64,1.29091276834147,0.819,0.341,1.43809159209378e-59
"207","LOC102139775",1.4967696644657e-63,2.538828503597,0.5,0.041,3.71498230720387e-59
"208","MGST3",1.7122804187441e-63,2.21832658666441,0.506,0.043,4.24987999932285e-59
"209","PLAC8",1.78119252815408e-63,1.54064128116411,0.754,0.277,4.42091985487842e-59
"210","APOC1",2.59821636036815e-63,2.80765325485788,0.51,0.053,6.44877300643376e-59
"211","AP1S2",2.8122670683056e-63,2.02816861526507,0.556,0.076,6.98004686353449e-59
"212","LGALS3",2.86031045187697e-63,1.56864239220877,0.756,0.284,7.09929054155864e-59
"213","AGPAT3",5.5702981519981e-63,1.75768526781668,0.559,0.076,1.38254800132593e-58
"214","MYO5A",7.27930214548528e-63,3.47089962863127,0.466,0.025,1.80672279250945e-58
"215","ABHD12",7.40390585672388e-63,2.86620683855529,0.503,0.053,1.83764943363887e-58
"216","GNS",8.17051931154395e-63,1.62096019626653,0.633,0.128,2.02792289312521e-58
"217","RPS6",1.37096197039922e-62,2.35840135586989,0.506,0.046,3.40272761053085e-58
"218","ATP5O",1.71851548404382e-62,1.51531426081482,0.6,0.101,4.26535543139677e-58
"219","HERPUD1",2.93602859124567e-62,1.84782831032701,0.607,0.114,7.28722296347176e-58
"220","SAMD9",3.20984167314248e-62,-4.12565466750793,0.093,0.325,7.96682703273963e-58
"221","MMP14",4.43167284255503e-62,5.398950485923,0.431,0.007,1.09994119952216e-57
"222","NUPR1",4.71911570938683e-62,2.49401785951491,0.531,0.069,1.17128451906981e-57
"223","UCP2",5.32096705002216e-62,3.05506410098159,0.468,0.027,1.3206640218155e-57
"224","AIF1",5.32970790527481e-62,1.25172853960431,0.803,0.277,1.32283350208921e-57
"225","TMEM140",5.59368707165879e-62,-3.60784091560877,0.18,0.439,1.38835313118571e-57
"226","EMILIN2",5.73753289315349e-62,1.25675460246791,0.701,0.172,1.4240556640807e-57
"227","ERV3-1",9.42561556268997e-62,3.83774060483194,0.458,0.025,2.33943778265965e-57
"228","PDIA6",1.29650385633343e-61,1.92497755493714,0.521,0.059,3.21792257141958e-57
"229","EIF3H",1.49570493006852e-61,1.3269511937596,0.615,0.114,3.71233963643008e-57
"230","CHI3L1",2.45327831218843e-61,3.49721242461481,0.474,0.039,6.08903677085167e-57
"231","RPS8",2.76250142904073e-61,1.72412249116958,0.566,0.085,6.85652854687909e-57
"232","AP2S1",2.85749911113849e-61,3.01041511369569,0.474,0.034,7.09231279384574e-57
"233","DDOST",3.06848462727997e-61,2.22655277037715,0.505,0.05,7.61597884490888e-57
"234","RPN1",4.05628156535022e-61,2.64497411032005,0.471,0.032,1.00676908451993e-56
"235","FAM101B",1.25124919259755e-60,-4.53381892141231,0.026,0.176,3.10560049602711e-56
"236","ATOX1",1.46027039587967e-60,2.31642830421836,0.51,0.057,3.62439112257335e-56
"237","TLR4",1.99410799060353e-60,-1.81841537180973,0.684,0.739,4.94937603267797e-56
"238","ARHGDIB",2.02195979800726e-60,1.3678358877376,0.685,0.167,5.01850421865402e-56
"239","TMEM176B",2.49050944866344e-60,3.80076970356122,0.452,0.027,6.18144445158266e-56
"240","HSP90AA1",2.54204297038675e-60,1.12531879472966,0.852,0.32,6.30935065249992e-56
"241","YBX1",3.02815226519939e-60,1.37247313373506,0.652,0.146,7.51587392222488e-56
"242","MYOF",3.88220975448008e-60,3.26099216653414,0.454,0.025,9.63564461061956e-56
"243","LOC102117433",4.07898498753303e-60,2.02870275238659,0.539,0.076,1.0124040739057e-55
"244","SCARB2",4.32289715500128e-60,2.74849486973779,0.471,0.034,1.07294307387132e-55
