"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.97148602032794e-29,0.757134472457384,0.551,0.268,1.7303228302454e-24,"11","COL4A3BP"
7.0822703423392e-29,0.79369589270245,0.342,0.128,1.75781949896859e-24,"11","FAM3C"
7.4663619961754e-29,0.862434690488451,0.733,0.495,1.85315104745073e-24,"11","GSTP1"
8.08873965704426e-29,0.994484747276833,0.393,0.159,2.00762518287838e-24,"11","MRPL28"
8.67437008722833e-29,0.84067091838084,0.43,0.183,2.15297865565007e-24,"11","NEK6"
9.13076397318052e-29,0.713491422497917,0.701,0.391,2.26625561814341e-24,"11","SNX3"
9.66231796063487e-29,1.05360404346355,0.273,0.092,2.39818731782958e-24,"11","FER"
1.06498596970193e-28,0.777562389263168,0.34,0.127,2.64329517680018e-24,"11","PLEKHM1"
1.08197878090863e-28,0.769063079292326,0.513,0.235,2.68547133421521e-24,"11","DPP7"
1.23137885026956e-28,0.599043854004419,0.813,0.525,3.05628230636906e-24,"11","PLAC8"
1.25397761612434e-28,0.886775637588006,0.302,0.105,3.11237244322061e-24,"11","DCUN1D1"
1.37786207869277e-28,0.867111817106251,0.537,0.261,3.41985367931544e-24,"11","POLD4"
1.62710895225139e-28,0.679123086756978,0.364,0.141,4.03848441948795e-24,"11","OSGIN2"
1.62938140629153e-28,0.407680600905364,0.987,0.862,4.04412465041558e-24,"11","VIM"
1.82673998078127e-28,0.91192616409265,0.39,0.158,4.53396863229912e-24,"11","SCAMP1"
1.88357627521205e-28,1.25964077060517,0.283,0.099,4.67503631507631e-24,"11","HMOX1"
2.05891181137924e-28,0.686077680265908,0.326,0.121,5.11021911584327e-24,"11","DAAM1"
2.30946953152804e-28,1.02356804229659,0.334,0.127,5.73210337725258e-24,"11","BLCAP"
2.36516347671819e-28,0.738857172443254,0.305,0.108,5.87033574921455e-24,"11","DUSP3"
3.12087001050079e-28,0.825998790867948,0.57,0.281,7.74599936606296e-24,"11","BLOC1S1"
